DomainName,IDN,TLD,DomainType,Status,IPv4
cafevivamenu.hungrytext.com,cafevivamenu.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
callnotify.noveltysoft.com,callnotify.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,66.226.76.31
callreward.com,callreward.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
carriertermination.com,carriertermination.com,com,ON_DOMAIN,ACTIVE,217.160.0.48
cascarinoscollegepoint.hungrytext.com,cascarinoscollegepoint.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
cavaleripizzapasta.hungrytext.com,cavaleripizzapasta.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
cdn.didyoubuy.com,cdn.didyoubuy.com,com,SUB_DOMAIN,ACTIVE,176.58.114.85
cdrs.voicealerts.com,cdrs.voicealerts.com,com,SUB_DOMAIN,ACTIVE,192.53.166.215
cds-cdrs.tcpaas.com,cds-cdrs.tcpaas.com,com,SUB_DOMAIN,ACTIVE,66.226.72.172
cds-cdrs.telecomcloud.us,cds-cdrs.telecomcloud.us,us,SUB_DOMAIN,ACTIVE,66.226.75.98
cds-dev.tcpaas.com,cds-dev.tcpaas.com,com,SUB_DOMAIN,ACTIVE,66.226.72.172
cds.telecomcloud.us,cds.telecomcloud.us,us,SUB_DOMAIN,ACTIVE,66.226.76.150
cdsapi.telecomcloud.us,cdsapi.telecomcloud.us,us,SUB_DOMAIN,ACTIVE,66.226.75.55
cdsdev.telecomcloud.us,cdsdev.telecomcloud.us,us,SUB_DOMAIN,ACTIVE,66.226.75.98
cdsivr.noveltysoft.com,cdsivr.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,74.208.236.247
cdsportal.telecomcloud.us,cdsportal.telecomcloud.us,us,SUB_DOMAIN,ACTIVE,173.255.213.98
centrepizzeriany.hungrytext.com,centrepizzeriany.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
champion.telecomcloud.us,champion.telecomcloud.us,us,SUB_DOMAIN,ACTIVE,162.244.65.187
chat-dev.hungryvoice.com,chat-dev.hungryvoice.com,com,SUB_DOMAIN,ACTIVE,45.79.26.48
chat-dev.voiceadmins.com,chat-dev.voiceadmins.com,com,SUB_DOMAIN,ACTIVE,45.79.26.48
chat.hungrytext.com,chat.hungrytext.com,com,SUB_DOMAIN,ACTIVE,45.79.43.247
chat.hungryvoice.com,chat.hungryvoice.com,com,SUB_DOMAIN,ACTIVE,162.244.65.187
chat.voiceadmins.com,chat.voiceadmins.com,com,SUB_DOMAIN,ACTIVE,35.227.35.158
chatdev.hungrytext.com,chatdev.hungrytext.com,com,SUB_DOMAIN,ACTIVE,45.79.43.247
chatordering.com,chatordering.com,com,ON_DOMAIN,ACTIVE,74.208.236.91
cherrytreegs.hungrytext.com,cherrytreegs.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
chottay.com,chottay.com,com,X_DOMAIN,ACTIVE,74.208.236.247
chuckecheese.hungrytext.com,chuckecheese.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
cigotracker.hungrytext.com,cigotracker.hungrytext.com,com,SUB_DOMAIN,ACTIVE,45.79.43.247
classicthomaspizza.hungrytext.com,classicthomaspizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
clickedtalk.com,clickedtalk.com,com,ON_DOMAIN,ACTIVE,217.160.0.9
clickedvoice.com,clickedvoice.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
clintonsqpizza.hungrytext.com,clintonsqpizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
cloudsips.com,cloudsips.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
cnam.tcpaas.com,cnam.tcpaas.com,com,SUB_DOMAIN,ACTIVE,34.138.22.50
cnamdocker.tcpaas.com,cnamdocker.tcpaas.com,com,SUB_DOMAIN,ACTIVE,74.208.236.247
coronapizza.hungrytext.com,coronapizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
cpsfs.noveltysoft.com,cpsfs.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,66.226.76.150
crazywillys.hungrytext.com,crazywillys.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
crm.noveltysoft.com,crm.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,198.58.119.67
dangelospizza.hungrytext.com,dangelospizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
danishouseofpizza.hungrytext.com,danishouseofpizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
dannaspizzadeli.hungrytext.com,dannaspizzadeli.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
darospizzaandchicken.hungrytext.com,darospizzaandchicken.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
dchdews.noveltysoft.com,dchdews.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,74.208.236.247
deliciaspizzaandchicken.hungrytext.com,deliciaspizzaandchicken.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
deliverypooling.com,deliverypooling.com,com,ON_DOMAIN,WAITING_FOR_REVIVAL,
demo.hungrytek.com,demo.hungrytek.com,com,SUB_DOMAIN,ACTIVE,176.58.114.85
demo.hungrytext.com,demo.hungrytext.com,com,SUB_DOMAIN,ACTIVE,45.79.43.247
demo.hungryvoice.com,demo.hungryvoice.com,com,SUB_DOMAIN,ACTIVE,206.225.82.228
demo.onboardsoft.com,demo.onboardsoft.com,com,SUB_DOMAIN,ACTIVE,216.55.177.51
demo.tcpaas.com,demo.tcpaas.com,com,SUB_DOMAIN,ACTIVE,45.79.35.14
demo.telecomcloud.us,demo.telecomcloud.us,us,SUB_DOMAIN,ACTIVE,74.208.236.148
demo.voiceadmins.com,demo.voiceadmins.com,com,SUB_DOMAIN,ACTIVE,206.225.82.228
demo.voicealerts.com,demo.voicealerts.com,com,SUB_DOMAIN,ACTIVE,45.56.65.81
demomenu.hungrytexts.com,demomenu.hungrytexts.com,com,SUB_DOMAIN,ACTIVE,45.79.43.247
demoportal.telecomcloud.us,demoportal.telecomcloud.us,us,SUB_DOMAIN,ACTIVE,104.237.143.243
dev-portal.voicealerts.com,dev-portal.voicealerts.com,com,SUB_DOMAIN,ACTIVE,173.255.213.98
dev.hungrytab.com,dev.hungrytab.com,com,SUB_DOMAIN,ACTIVE,104.237.140.13
dev.hungrytext.com,dev.hungrytext.com,com,SUB_DOMAIN,ACTIVE,45.79.43.247
dev.onboardsoft.com,dev.onboardsoft.com,com,SUB_DOMAIN,ACTIVE,74.208.236.217
dev.pay.voyceadmins.com,dev.pay.voyceadmins.com,com,SUB_DOMAIN,ACTIVE,34.23.117.157
dev.portal.voyceadmins.com,dev.portal.voyceadmins.com,com,SUB_DOMAIN,ACTIVE,34.23.117.157
dev.telecomcloud.us,dev.telecomcloud.us,us,SUB_DOMAIN,ACTIVE,206.225.85.97
dev.voicealerts.com,dev.voicealerts.com,com,SUB_DOMAIN,ACTIVE,173.255.213.98
dev.voyceadmins.com,dev.voyceadmins.com,com,SUB_DOMAIN,ACTIVE,34.23.117.157
devapi-numberio.tcpaas.com,devapi-numberio.tcpaas.com,com,SUB_DOMAIN,ACTIVE,34.75.217.247
devgorvm.telecomcloud.us,devgorvm.telecomcloud.us,us,SUB_DOMAIN,ACTIVE,23.239.7.155
devhv.tcpaas.com,devhv.tcpaas.com,com,SUB_DOMAIN,ACTIVE,45.79.26.48
devweb.voyceadmins.com,devweb.voyceadmins.com,com,SUB_DOMAIN,ACTIVE,35.229.43.216
diaspanos.com,diaspanos.com,com,ON_DOMAIN,ACTIVE,74.208.236.230
didjobs.com,didjobs.com,com,X_DOMAIN,ACTIVE,74.208.236.247
didmanager.com,didmanager.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
didordering.com,didordering.com,com,X_DOMAIN,ACTIVE,74.208.236.204
didorigination.com,didorigination.com,com,ON_DOMAIN,WAITING_FOR_REVIVAL,
didresources.com,didresources.com,com,ON_DOMAIN,WAITING_FOR_REVIVAL,
didyou.com,didyou.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
didyou.onboardsoft.com,didyou.onboardsoft.com,com,SUB_DOMAIN,ACTIVE,162.244.65.141
didyoubuy.com,didyoubuy.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
didyoueat.com,didyoueat.com,com,ON_DOMAIN,ACTIVE,74.208.236.150
didyoupay.com,didyoupay.com,com,ON_DOMAIN,ACTIVE,74.208.236.249
dinoguglietta.com,dinoguglietta.com,com,ON_DOMAIN,ACTIVE,173.255.195.211
dolcesalato.hungrytext.com,dolcesalato.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
dominicksdeli.hungrytext.com,dominicksdeli.hungrytext.com,com,SUB_DOMAIN,ACTIVE,
drcollectible.com,drcollectible.com,com,ON_DOMAIN,ACTIVE,23.227.38.32
eatfreshkitchen.hungrytext.com,eatfreshkitchen.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
elmhurstfamouspizza.hungrytext.com,elmhurstfamouspizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
fahad.tcpaas.com,fahad.tcpaas.com,com,SUB_DOMAIN,ACTIVE,173.255.195.211
fiamma41.hungrytext.com,fiamma41.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
fontanafamous.hungrytext.com,fontanafamous.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
fooddeliveryjob.com,fooddeliveryjob.com,com,ON_DOMAIN,WAITING_FOR_REVIVAL,
fooddeliverypool.com,fooddeliverypool.com,com,ON_DOMAIN,WAITING_FOR_REVIVAL,
fr-sms.tcpaas.com,fr-sms.tcpaas.com,com,SUB_DOMAIN,ACTIVE,45.56.65.81
francescaspizzeria.hungrytext.com,francescaspizzeria.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
fratellispizzeria.hungrytext.com,fratellispizzeria.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
frescopizzeriaandrestaurant.hungrytext.com,frescopizzeriaandrestaurant.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
freshmeadowspizzeria.hungrytext.com,freshmeadowspizzeria.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
frreseller.tcpaas.com,frreseller.tcpaas.com,com,SUB_DOMAIN,ACTIVE,45.56.65.81
gabriellasfamilypizza.hungrytext.com,gabriellasfamilypizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
genarospizzeriarestaurant.hungrytext.com,genarospizzeriarestaurant.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
genesispizza.hungrytext.com,genesispizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
geospizzeriarestaurant.hungrytext.com,geospizzeriarestaurant.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
gg.hungrytab.com,gg.hungrytab.com,com,SUB_DOMAIN,ACTIVE,198.58.119.67
ggcatering.hungrytext.com,ggcatering.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
ggeats.hungrytext.com,ggeats.hungrytext.com,com,SUB_DOMAIN,ACTIVE,74.208.236.247
ggeatspos.hungrytext.com,ggeatspos.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
gigispizza.hungrytext.com,gigispizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
ginospizzaofflushing.hungrytext.com,ginospizzaofflushing.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
giovannispizzarestaurant.hungrytext.com,giovannispizzarestaurant.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
git.tcpaas.com,git.tcpaas.com,com,SUB_DOMAIN,ACTIVE,162.244.65.141
globex.telecomcloud.us,globex.telecomcloud.us,us,SUB_DOMAIN,ACTIVE,216.55.170.83
gracepizzaglendaleny.hungrytext.com,gracepizzaglendaleny.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
grandavepizza.hungrytext.com,grandavepizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
graziellapizza.hungrytext.com,graziellapizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
grimaldis-pizza.hungrytext.com,grimaldis-pizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
guyandgallard.hungrytext.com,guyandgallard.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
gvc.onboardsoft.com,gvc.onboardsoft.com,com,SUB_DOMAIN,ACTIVE,50.116.17.116
gvc.telecomcloud.us,gvc.telecomcloud.us,us,SUB_DOMAIN,ACTIVE,216.55.177.250
handyman.tcpaas.com,handyman.tcpaas.com,com,SUB_DOMAIN,ACTIVE,23.239.31.19
hiclasspizza.hungrytext.com,hiclasspizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
hidalgomexicanastoria.hungrytext.com,hidalgomexicanastoria.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
himangonaturalmarket.hungrytext.com,himangonaturalmarket.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
hr.noveltysoft.com,hr.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,198.58.119.67
hta.onboardsoft.com,hta.onboardsoft.com,com,SUB_DOMAIN,ACTIVE,45.79.33.71
hungryautomation.com,hungryautomation.com,com,ON_DOMAIN,ACTIVE,176.58.114.85
hungryblockchain.com,hungryblockchain.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
hungrychains.com,hungrychains.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
hungrycoin.net,hungrycoin.net,net,ON_DOMAIN,ACTIVE,74.208.236.247
hungrydrop.com,hungrydrop.com,com,ON_DOMAIN,ACTIVE,74.208.236.249
hungrydrops.com,hungrydrops.com,com,ON_DOMAIN,ACTIVE,74.208.236.249
hungrypasses.com,hungrypasses.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
hungrypos.com,hungrypos.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
hungrytab.com,hungrytab.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
hungrytabs.com,hungrytabs.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
hungrytek.com,hungrytek.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
hungrytext.com,hungrytext.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
hungrytexts.com,hungrytexts.com,com,ON_DOMAIN,ACTIVE,206.225.81.111
hungrytoken.com,hungrytoken.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
hungryvoice.com,hungryvoice.com,com,ON_DOMAIN,ACTIVE,74.208.236.18
hungryvoice.tcpaas.com,hungryvoice.tcpaas.com,com,SUB_DOMAIN,ACTIVE,162.244.65.36
husnaintaseer.noveltysoft.com,husnaintaseer.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,66.226.76.199
hv.tcpaas.com,hv.tcpaas.com,com,SUB_DOMAIN,ACTIVE,162.244.65.88
iap.noveltysoft.com,iap.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,50.116.21.94
icdev.tcpaas.com,icdev.tcpaas.com,com,SUB_DOMAIN,ACTIVE,198.58.122.211
images.hungrytext.com,images.hungrytext.com,com,SUB_DOMAIN,ACTIVE,45.79.43.247
indianmasala.hungrytext.com,indianmasala.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
indianproject.hungrytext.com,indianproject.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
intrado.noveltysoft.com,intrado.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,74.208.236.247
intrado.onboardsoft.com,intrado.onboardsoft.com,com,SUB_DOMAIN,ACTIVE,45.33.125.83
intrado.tcpaas.com,intrado.tcpaas.com,com,SUB_DOMAIN,ACTIVE,45.79.35.14
ipdemo.hungrytext.com,ipdemo.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
ipitmi.telecomcloud.us,ipitmi.telecomcloud.us,us,SUB_DOMAIN,ACTIVE,69.30.203.198
ivr.hungrytext.com,ivr.hungrytext.com,com,SUB_DOMAIN,ACTIVE,198.58.119.67
ivrordering.com,ivrordering.com,com,ON_DOMAIN,ACTIVE,74.208.236.141
jdpizza.hungrytext.com,jdpizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
joespizza.hungrytext.com,joespizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
joesplacetoo.hungrytext.com,joesplacetoo.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
kennedychickenpizzakabab.hungrytext.com,kennedychickenpizzakabab.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
kfhesterpizza.hungrytext.com,kfhesterpizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
kickstartacure.com,kickstartacure.com,com,ON_DOMAIN,ACTIVE,74.208.236.247
kickstartacure.net,kickstartacure.net,net,ON_DOMAIN,ACTIVE,74.208.236.247
kickstartacure.org,kickstartacure.org,org,ON_DOMAIN,ACTIVE,74.208.236.247
kyc.onboardsoft.com,kyc.onboardsoft.com,com,SUB_DOMAIN,ACTIVE,139.144.45.62
lamici.hungrytext.com,lamici.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
lareginapizzeria.hungrytext.com,lareginapizzeria.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
larondine.hungrytext.com,larondine.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
lasperlas.hungrytext.com,lasperlas.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
lasperlassalvadorian.hungrytext.com,lasperlassalvadorian.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
leads-cdrs.hungryvoice.com,leads-cdrs.hungryvoice.com,com,SUB_DOMAIN,ACTIVE,173.213.236.229
leads-dev.hungryvoice.com,leads-dev.hungryvoice.com,com,SUB_DOMAIN,ACTIVE,173.255.213.98
leads.hungryvoice.com,leads.hungryvoice.com,com,SUB_DOMAIN,ACTIVE,206.225.82.228
localtermination.com,localtermination.com,com,ON_DOMAIN,ACTIVE,217.160.0.49
lookup.voicealerts.com,lookup.voicealerts.com,com,SUB_DOMAIN,ACTIVE,45.79.16.220
luigispizzeria.hungrytext.com,luigispizzeria.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
mammalucianas.hungrytext.com,mammalucianas.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
mammaspizzaandrestaurant.hungrytext.com,mammaspizzaandrestaurant.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
manage.tcpaas.com,manage.tcpaas.com,com,SUB_DOMAIN,ACTIVE,104.237.143.243
mariospizzeriarestaurant.hungrytext.com,mariospizzeriarestaurant.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
martiniellospizzeria.hungrytext.com,martiniellospizzeria.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
mash.tcpaas.com,mash.tcpaas.com,com,SUB_DOMAIN,ACTIVE,35.237.38.57
matesepizzeriaristorantecaterers.hungrytext.com,matesepizzeriaristorantecaterers.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
maxsrestaurant.hungrytext.com,maxsrestaurant.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
mb.hungrytext.com,mb.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
mbdev.hungrytext.com,mbdev.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
menu.hungrytext.com,menu.hungrytext.com,com,SUB_DOMAIN,ACTIVE,45.79.43.247
menu.hungrytexts.com,menu.hungrytexts.com,com,SUB_DOMAIN,ACTIVE,45.79.43.247
mexicosina.hungrytext.com,mexicosina.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
mghdemo.noveltysoft.com,mghdemo.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,66.226.72.160
mgheng.noveltysoft.com,mgheng.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,74.208.236.247
michaelandsonspizza.hungrytext.com,michaelandsonspizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
mikespizza.hungrytext.com,mikespizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
minitaliapizzeria.hungrytext.com,minitaliapizzeria.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
mobydickhok.hungrytext.com,mobydickhok.hungrytext.com,com,SUB_DOMAIN,ACTIVE,45.79.43.247
mobydickhouseofkabob.hungrytext.com,mobydickhouseofkabob.hungrytext.com,com,SUB_DOMAIN,ACTIVE,74.208.236.247
mobyskabob.hungrytabs.com,mobyskabob.hungrytabs.com,com,SUB_DOMAIN,ACTIVE,74.208.236.247
